"ID"	"Task"	"Weight"	"Complexity"	"Duration"	"Status"	"Cashhkject"	"Start"	"End"	"Theo Start"	"Theo End"	"Deliverable"	"Depends on"	"Ressource"
1	"Faire un depistage MST"	200	5	1	"Done"	"Life"	"2013-12-26"	"2013-12-27"	"2013-12-28"	"2013-12-29"			121
2	"Reparer la manette de vitesse"	100	2	1	"Done"	"Boat"	"2013-12-26"	"2013-12-27"	"2013-12-28"	"2013-12-29"			
3	"Payer les impots"	530	1	1	"Pending"	"Cashhk"	"2013-12-27"	"2013-12-28"	"2013-12-29"	"2013-12-30"			
4	"Se faire couper les cheveux"	100	1	1	"Done"	"Day to day"	"2013-12-27"	"2013-12-28"	"2013-12-29"	"2013-12-30"			
5	"Have fucking sex everyday"	0	1	1	"Pending"	"Life"	"2013-12-28"	"2013-12-29"	"2013-12-30"	"2013-12-31"			
6	"Carenner le Boat"	90		1	"Pending"	"Boat"	"2013-12-28"	"2013-12-29"	"2013-12-30"	"2013-12-31"			
7	"Creer checklist depart Brest"	90		1	"Done"	"Day to day"	"2013-12-29"	"2013-12-30"	"2013-12-31"	"2014-01-01"			
8	"Faire le virement HSBC"	80		1	"Pending"	"Cashhk"	"2013-12-29"	"2013-12-30"	"2013-12-31"	"2014-01-01"			
9	"Donner mon numero de tel  a Aymeric"	0		1	"Pending"	"Cashhk"	"2013-12-30"	"2013-12-31"	"2014-01-01"	"2014-01-02"			
10	"Payer douarn"	50		1	"Done"	"Cashhk"	"2013-12-30"	"2013-12-31"	"2014-01-01"	"2014-01-02"			
11	"Reparer la voile"	40		1	"Done"	"Boat"	"2013-12-31"	"2014-01-01"	"2014-01-02"	"2014-01-03"			
12	"Plonger pour carenner"	30		1	"Pending"	"Boat"	"2013-12-31"	"2014-01-01"	"2014-01-02"	"2014-01-03"			
13	"Reparer le stick"	30		1	"Done"	"Boat"	"2014-01-01"	"2014-01-02"	"2014-01-03"	"2014-01-04"			
14	"Installer le GPS"	20		1	"Pending"	"Boat"	"2014-01-01"	"2014-01-02"	"2014-01-03"	"2014-01-04"			
15	"Ranger la cave"	20		1	"Pending"	"Day to day"	"2014-01-02"	"2014-01-03"	"2014-01-04"	"2014-01-05"			
16	"Changer les lampes"	10		1	"Pending"	"Boat"	"2014-01-02"	"2014-01-03"	"2014-01-04"	"2014-01-05"			
17	"Nettoyer la glaciere"	10		1	"Pending"	"Boat"	"2014-01-03"	"2014-01-04"	"2014-01-05"	"2014-01-06"			
18	"Recoller le morceau de bois interieur"	10		1	"Pending"	"Boat"	"2014-01-03"	"2014-01-04"	"2014-01-05"	"2014-01-06"			
19	"Poster la bouee en U"	1		1	"Done"	"Boat"	"2014-01-04"	"2014-01-05"	"2014-01-06"	"2014-01-07"			
20	"Reparer le feu de retournement"	1		1	"Pending"	"Boat"	"2014-01-04"	"2014-01-05"	"2014-01-06"	"2014-01-07"			
21	"Reparer la traine"	1		1	"Done"	"Boat"	"2014-01-05"	"2014-01-06"	"2014-01-07"	"2014-01-08"			
22	"Installer une ligne sur la canne"	1		1	"Pending"	"Boat"	"2014-01-05"	"2014-01-06"	"2014-01-07"	"2014-01-08"			
23	"Nettoyer le pont"	1		1	"Pending"	"Boat"	"2014-01-06"	"2014-01-07"	"2014-01-08"	"2014-01-09"			
24	"Graisser la barre"	1		1	"Pending"	"Boat"	"2014-01-06"	"2014-01-07"	"2014-01-08"	"2014-01-09"			
27	"Nettoyer les banettes"	1		1	"Pending"	"Boat"	"2014-01-07"	"2014-01-08"	"2014-01-09"	"2014-01-10"			
28	"Nettoyer les inox"	1		1	"Pending"	"Boat"	"2014-01-07"	"2014-01-08"	"2014-01-09"	"2014-01-10"			
29	"Masque  CMB "	1		1	"Pending"	"Boat"	"2014-01-08"	"2014-01-09"	"2014-01-10"	"2014-01-11"			
30	"Verifier le mouillage"	1		1	"Pending"	"Boat"	"2014-01-08"	"2014-01-09"	"2014-01-10"	"2014-01-11"			
31	"Scotcher les haubans"	1		1	"Done"	"Boat"	"2014-01-09"	"2014-01-10"	"2014-01-11"	"2014-01-12"			
32	"Installer le son"	1		1	"Pending"	"Boat"	"2014-01-09"	"2014-01-10"	"2014-01-11"	"2014-01-12"			
33	"Ameliorer la connexion batterie"	1		1	"Pending"	"Boat"	"2014-01-10"	"2014-01-11"	"2014-01-12"	"2014-01-13"			
34	"Fixer le 12v sur le tableau"	1		1	"Pending"	"Boat"	"2014-01-10"	"2014-01-11"	"2014-01-12"	"2014-01-13"			
35	"Changer le mode du rechaud"	1		1	"Pending"	"Boat"	"2014-01-11"	"2014-01-12"	"2014-01-13"	"2014-01-14"			
36	"Rincer le spi et tous les bouts"	1		1	"Pending"	"Boat"	"2014-01-11"	"2014-01-12"	"2014-01-13"	"2014-01-14"			
37	"Ajuster les amarres"	1		1	"Done"	"Boat"	"2014-01-12"	"2014-01-13"	"2014-01-14"	"2014-01-15"			
38	"Vernis bois clair"	1		1	"Pending"	"Boat"	"2014-01-12"	"2014-01-13"	"2014-01-14"	"2014-01-15"			
39	"Recuperer de la garcette"	1		1	"Done"	"Boat"	"2014-01-13"	"2014-01-14"	"2014-01-15"	"2014-01-16"			
40	"Mettre un paillasson"	1		1	"Pending"	"Boat"	"2014-01-13"	"2014-01-14"	"2014-01-15"	"2014-01-16"			
41	"Recoler les lettres Jeanneau"	1		1	"Done"	"Boat"	"2014-01-14"	"2014-01-15"	"2014-01-16"	"2014-01-17"			
42	"Essence a briquet"	1		1	"Pending"	"Economy"	"2014-01-14"	"2014-01-15"	"2014-01-16"	"2014-01-17"			
43	"Piles R6"	1		1	"Done"	"Day to day"	"2014-01-15"	"2014-01-16"	"2014-01-17"	"2014-01-18"			
44	"Fer a souder"	1		1	"Pending"	"Investment"	"2014-01-15"	"2014-01-16"	"2014-01-17"	"2014-01-18"			
45	"Regonfler velo"	1		1	"Pending"	"Day to day"	"2014-01-16"	"2014-01-17"	"2014-01-18"	"2014-01-19"			
46	"Reparer le razoir braun"	1		1	"Pending"	"Day to day"	"2014-01-16"	"2014-01-17"	"2014-01-18"	"2014-01-19"			
49	"Contacter Aldini"	24000	1	1	"Pending"	"Cashhk"	"2014-01-17"	"2014-01-18"	"2014-01-19"	"2014-01-20"			
58	"Envoyer les docs  a GMS"	1		1	"Pending"	"Cashhk"	"2014-01-17"	"2014-01-18"	"2014-01-19"	"2014-01-20"			
59	"Acheter un grand classeur"	1		1	"Done"	"Cashhk"	"2014-01-18"	"2014-01-19"	"2014-01-20"	"2014-01-21"			
60	"Ranger tout l'historique de doc dans le classeur"	1		1	"Done"	"Cashhk"	"2014-01-18"	"2014-01-19"	"2014-01-20"	"2014-01-21"			
61	"Faire opposition au prel evements bizarres"	1		1	"Pending"	"Cashhk"	"2014-01-19"	"2014-01-20"	"2014-01-21"	"2014-01-22"			
62	"Renouveller contrat marina"	1		1	"Done"	"Cashhk"	"2014-01-19"	"2014-01-20"	"2014-01-21"	"2014-01-22"			
63	"Faire des photos d'identite"	1		1	"Done"	"Cashhk"	"2014-01-20"	"2014-01-21"	"2014-01-22"	"2014-01-23"			
64	"Verifier solde suppletis"	1		1	"Pending"	"Cashhk"	"2014-01-20"	"2014-01-21"	"2014-01-22"	"2014-01-23"			
65	"Contacter EDF"	1		1	"Pending"	"Cashhk"	"2014-01-21"	"2014-01-22"	"2014-01-23"	"2014-01-24"			
66	"Demander quittance"	1		1	"Done"	"Cashhk"	"2014-01-21"	"2014-01-22"	"2014-01-23"	"2014-01-24"			
67	"Appeler wing"	1		1	"Done"	"Friends"	"2014-01-22"	"2014-01-23"	"2014-01-24"	"2014-01-25"			
68	"Appeler phil"	1		1	"Pending"	"Friends"	"2014-01-22"	"2014-01-23"	"2014-01-24"	"2014-01-25"			
69	"Etablir weeklies"	1		1	"Pending"	"Friends"	"2014-01-23"	"2014-01-24"	"2014-01-25"	"2014-01-26"			
70	"Contacer Cepadues"	1		1	"Done"	"Cashhk"	"2014-01-23"	"2014-01-24"	"2014-01-25"	"2014-01-26"			
71	"Demander un checkier"	1		1	"Done"	"Cashhk"	"2014-01-24"	"2014-01-25"	"2014-01-26"	"2014-01-27"			
72	"Voir pour le livret A"	1		1	"Done"	"Cashhk"	"2014-01-24"	"2014-01-25"	"2014-01-26"	"2014-01-27"			
73	"Refaire passeport"	1		1	"Pending"	"Cashhk"	"2014-01-25"	"2014-01-26"	"2014-01-27"	"2014-01-28"			
74	"Faire un planning"	1		1	"Pending"	"Day to day"	"2014-01-25"	"2014-01-26"	"2014-01-27"	"2014-01-28"			
75	"Enlever le poste du Boat"	1		1	"Pending"	"Boat"	"2014-01-26"	"2014-01-27"	"2014-01-28"	"2014-01-29"			
76	"Apporter du citron pour le Boat"	1		"0,1"	"Pending"	"Boat"	"2014-01-26"	"2014-01-27"	"2014-01-28"	"2014-01-29"			
77	"Get a layer"				"Pending"	"Cashhk"	"2014-01-27"	"2014-01-28"	"2014-01-29"	"2014-01-30"			
78	"Backup phone numbers"				"Done"	"Cashhk"	"2014-01-27"	"2014-01-28"	"2014-01-29"	"2014-01-30"			
81	"Aller chez pole emploi"	24000	1		"Pending"	"Talent"	"2014-01-28"	"2014-01-29"	"2014-01-30"	"2014-01-31"			
82	"Nettoyer housse de couette"				"Pending"	"Day to day"	"2014-01-28"	"2014-01-29"	"2014-01-30"	"2014-01-31"			
83	"Acheter une nappe"				"Pending"	"Day to day"	"2014-01-29"	"2014-01-30"	"2014-01-31"	"2014-02-01"			
84	"Acheter cadre"				"Pending"	"Day to day"	"2014-01-29"	"2014-01-30"	"2014-01-31"	"2014-02-01"			
85	"Acheter rideaux chambre"				"Pending"	"Day to day"	"2014-01-30"	"2014-01-31"	"2014-02-01"	"2014-02-02"			
86	"Acheter couverture table de nuit + table"				"Pending"	"Day to day"	"2014-01-30"	"2014-01-31"	"2014-02-01"	"2014-02-02"			
87	"Acheter meuble plastique salle de bain"				"Pending"	"Day to day"	"2014-01-31"	"2014-02-01"	"2014-02-02"	"2014-02-03"			
88	"Acheter peinture salle de bain"				"Pending"	"Day to day"	"2014-01-31"	"2014-02-01"	"2014-02-02"	"2014-02-03"			
89	"Reparer panneau electrique du Boat"				"Pending"	"Day to day"	"2014-02-01"	"2014-02-02"	"2014-02-03"	"2014-02-04"			
90	"Passer aspi voiture"				"Pending"	"Day to day"	"2014-02-01"	"2014-02-02"	"2014-02-03"	"2014-02-04"			
91	"Recuperer glaciere"				"Pending"	"Day to day"	"2014-02-02"	"2014-02-03"	"2014-02-04"	"2014-02-05"			
92	"Installer porte manteau"				"Pending"	"Day to day"	"2014-02-02"	"2014-02-03"	"2014-02-04"	"2014-02-05"			
93	"Installer engin de muscu"				"Pending"	"Day to day"	"2014-02-03"	"2014-02-04"	"2014-02-05"	"2014-02-06"			
94	"Acheter jexfour"				"Pending"	"Day to day"	"2014-02-03"	"2014-02-04"	"2014-02-05"	"2014-02-06"			
95	"Acheter vinaigre blanc"				"Pending"	"Day to day"	"2014-02-04"	"2014-02-05"	"2014-02-06"	"2014-02-07"			
96	"Acheter housse sofa"				"Pending"	"Day to day"	"2014-02-04"	"2014-02-05"	"2014-02-06"	"2014-02-07"			
97	"Acheter housse de couette"				"Pending"	"Day to day"	"2014-02-05"	"2014-02-06"	"2014-02-07"	"2014-02-08"			
98	"Installer etabli"				"Pending"	"Day to day"	"2014-02-05"	"2014-02-06"	"2014-02-07"	"2014-02-08"			
99	"Installer etagere d'angle"				"Pending"	"Day to day"	"2014-02-06"	"2014-02-07"	"2014-02-08"	"2014-02-09"			
100	"Mettre a jour LinkedIn"				"Pending"	"Cashhk"	"2014-02-06"	"2014-02-07"	"2014-02-08"	"2014-02-09"			
101	"Acheter gants noirs"				"Pending"	"Day to day"	"2014-02-07"	"2014-02-08"	"2014-02-09"	"2014-02-10"			
102	"Recuperer outils chez Zaz"				"Pending"	"Day to day"	"2014-02-07"	"2014-02-08"	"2014-02-09"	"2014-02-10"			
103	"Recuperer outils Boat"				"Pending"	"Boat"	"2014-02-08"	"2014-02-09"	"2014-02-10"	"2014-02-11"			
104	"Recuperer carte sim"				"Pending"	"Day to day"	"2014-02-08"	"2014-02-09"	"2014-02-10"	"2014-02-11"			
105	"Faire reparer la clim de l'alfa"				"Pending"	"Alfa"	"2014-02-09"	"2014-02-10"	"2014-02-11"	"2014-02-12"			
106	"Cirer le plancher"				"Pending"	"Day to day"	"2014-02-09"	"2014-02-10"	"2014-02-11"	"2014-02-12"			
107	"Faire reparer le genois"				"Pending"	"Boat"	"2014-02-10"	"2014-02-11"	"2014-02-12"	"2014-02-13"			
108	"Adherer a la secu"	10000			"Pending"	"Cashhk"	"2014-02-10"	"2014-02-11"	"2014-02-12"	"2014-02-13"			
109	"Amener les costumes au pressing"				"Pending"	"Cashhk"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
110	"Arreter de fumer"	78120	1		"Pending"	"Health"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
111	"Arreter de boire"	156240	1		"Pending"	"Health"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
112	"Offrir cadeau Etienne"	4000	10		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
112	"Offrir cadeau Zaz"	3800	10		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
113	"Offrir cadeau Mum"	3600	5		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
114	"Offrir cadeau Armelle"	3200	5		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
115	"Offrir cadeau Flozio"	2800	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
116	"Offrir cadeau Fanch"	2400	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jessica"	2000	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jessie"	1600	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Christophe"	1200	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Appeler FredP"	324000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jab"	400	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Appeler London"	324000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
118	"Fermer ta gueule sur facebook"	100000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
	"scanner"												
	"réparer pc"												
	"planter les fraises"												
	"réparer armoire"												
	"refaire le plafond"												
	"refaire le mur"												
	"trouver suspensif pour les fraises"												
	"récupérer les plantes"												
	"nettoyer les carreaux"												
	"multiplex son"												
	"abajour"												
	"faire plastifier les cartes + encadrer jimi"												
	"videange alfa"												
	"essence alfa"												
	"guitare titi"												
	"créer son football club"												
	"trouver un spot pour le bad (Brest)"												
	"faire du cheval"												
	"Télécharger Ben"												
	"Gonfler matelas"												
	"Installer caméra SFR"												
	"révision moteur"												
	"génois - crowd funding?"												
	"tableau"												
	"gps"												
	"enrouleur"												
	"carénage"												
	"batterie"												
	"barre "												
	"payer le chantier naval"												
	"nettoyage intérieur"												
	"nettoyage coussins (housse?)"												
	"vente génois"												
	"testeur batterie"												
	"vérif assurance"												
	"vérif dispo/prix ponton roscoff"												
	"vérif dérive"												
	"location - Jab"												
	"VHF"												
	"cartes"												
	"scanner photos"												
	"ranger cartes de visites"												
	"checker windguru tous les matins"												
	"ajouter radio meuh sur website"												
	"refaire parquet"												
	"recup gamecube"												
	"chantier naval"												
	"monfort"												
	"contacter mazurier"												
	"contacter laurent le bras"												
	"contacter jean mich"												
	"voile plij lorient"												
	"femme de ménage"												
	"prof de guitare"												
	"backuper cvs"												
	"backuper research"												
	"faire un cv gestion de risques brest"												
	"finance"												
	"health"												
	"friends"												
	"day to day"												
	"investments (maison, boat, car)"												
	"work"												
	"recuperer costumes flo"			1,5	"finale"								
	"appeler laurent vidange"			2	"demi"								
	"regrouper les contacts par ville"			4	"quart"								
	"scanner photo petit plage"			8	"qualif"								
	"calculer projet australie"												
	"rapporter les dvds"												
	"impromer carte de visite"			"Finance"									
	"se raser sous les bras"			"day to day"									
	"remonter la barre de muscu"			"health"									
	"mettre les pendules à l'heure"			"friends"									
	"trouver coque N95"			"investments"									
	"rdv impots"			"work"									
	"aller au coiffeur "												
	"trouver une decapeuse"												
	"refire la peinture"												
	"recuperer affaire Jess"												
	"Aller à la pharmacie"												
	"dermato"												
	"Test MST"												
	"acheter masques"												
	"scanners les docs"												
	"retrouver les scans"												
	"photos matos"												
	"Nettoyer frigo"												
	"recuperer les lunettes"												
	"ajouter playlist guitare au docs perso"												
	"ajouter consommation a Tools"												
	"grouper par projet les taches"												
	"vendre guitare"												
	"recuperer guitare"												
	"recup outils zaz"												
	"créer liste bouquins "												
	"reconstituer journal"												
	"installer svn"												
	"reconstituer journal plijadur"												
	"retrouver equipiers plijadur"												
	"rdv dentiste"												
	"tatouage ben harper"												
	"contact Ekland"												
	"créer une équipe"												
	"nettoyer voiture"												
	"contacter francisco"												
	"conacter kerdoncuff"												
	"contacter thesar"												
	"rencontrer mecs tyfab"												
	"mettre à jour les contacts"												
	"créer liste muscu"												
	"projet pc"												
	"contacter cityfront"												
	"réparer acces disque dur"												
	"reparer armoire"												
	"refaire plafond"												
